artigo,codigo,descricao,icms_18,icms_12,icms_7,ret_mg,observacao
VERANO FLAME (DIGITAL)  , DIG EST 1001,VERANO FLAME (DIGITAL) 100% ALGODAO,20,20,,,PROGRAMACAO
VERANO FLAME EST, EST 1001,VERANO FLAME 100% ALGODAO,14.73,13.9,13.2,13.17,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO FLAME  LISO, LISO 1001,VERANO FLAME 100% ALGODAO,14.31,13.5,12.82,12.8,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO FLAME 160  EST, EST 1099,VERANO FLAME 160 100% ALGODAO,14.73,14.2,13.2,13.17,PROGRAMACAO
VERANO FLAME 160  LISO, LISO 1099,VERANO FLAME 160 100% ALGODAO,14.31,13.9,12.82,12.8,PROGRAMACAO
VERANO LINHO LISO, LISO 1043,VERANO LINHO,,12.8,,,
VERANO LINHO PLUS 160 , LISO 1076,VERANO LINHO PLUS 160 ,15.7,14.9,14.15,14.04,PROGRAMACAO
VERANO LINHO PLUS DIG, DIG EST 1076,VERANO LINHO PLUS,20,20.9,,,PROGRAMACAO
VERANO LISTRADO ELEGANCE  EST, EST 1030,VERANO LISTRADO ELEGANCE 100% ALG,17.9,16.9,16.05,16.01,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (2) 2X2, EST 1027,VERANO STRIPED (2) 2X2 100% ALGODAO,17.9,16.9,16.05,16.01,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (5) 4X4 , EST 1025,VERANO STRIPED (5) 4X4 100% ALGODAO,17.9,16.9,16.05,16.01,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (85MM) 1X1  , EST 1085,VERANO STRIPED (85MM) 1X1 100% ALGODAO,17.9,16.9,16.05,16.01,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED ALVEJADO (2) 2X2 , EST 1093,VERANO STRIPED ALVEJADO (2) 2X2 100% ALG,17.9,16.9,,16.01,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VISCOSE DELUXE  VISCOSE EST, EST 1082,VISCOSE DELUXE 100% VISCOSE,,12.98,12.98,,PROGRAMACAO/SOMENTE PRONTA ENTREGA
